x,y,class
0,-9.33717,-1.47976,0
1,-4.46281,-0.157614,0
2,-5.48281,-1.33823,0
3,-9.82805,-0.335942,0
4,-3.98464,0.756735,0
5,-9.99783,0.806095,0
6,-10.3309,0.528824,0
7,-5.58873,-0.579749,0
8,-11.6338,-1.23736,0
9,-5.15034,0.691411,0
10,-5.96595,0.74648,0
11,-6.99879,0.674803,0
12,-12.0809,-0.192616,0
13,-3.70154,0.829949,0
14,-8.39983,0.460985,0
15,-8.0397,1.11431,0
16,-2.27442,0.747368,0
17,-11.4743,-1.34989,0
18,-11.8902,-1.25718,0
19,-3.72325,-1.56156,0
20,-10.1756,1.57619,0
21,-6.03203,-0.11842,0
22,-2.85019,-1.3911,0
23,-0.55693,-0.769474,0
24,-7.85374,-0.677771,0
25,-7.56068,-1.01453,0
26,-8.02701,-2.72431,0
27,-4.95269,-0.905943,0
28,-15.5304,-0.892675,0
29,-4.09205,-0.967917,0
30,-5.17113,0.326012,0
31,-9.62024,0.0751524,0
32,-0.740419,-1.86362,0
33,-8.47926,-2.21862,0
34,-6.37991,-1.04761,0
35,-12.7962,-1.01293,0
36,-7.48629,-0.167766,0
37,-5.5817,-0.488916,0
38,-8.32077,-0.19477,0
39,-3.66454,-1.61521,0
40,-10.8874,0.64967,0
41,-5.27185,-2.31187,0
42,-7.21248,-0.732954,0
43,-5.13236,-0.785634,0
44,-6.18507,-0.627664,0
45,-7.75874,0.241957,0
46,-4.68545,0.629869,0
47,-10.3527,-2.11139,0
48,-4.56472,-1.07274,0
49,-8.50942,1.89247,0
50,-6.79158,-0.160768,0
51,-7.22832,-0.0721055,0
52,-6.15083,-1.18643,0
53,-8.01747,-0.977148,0
54,-3.98416,-1.05669,0
55,-8.56995,-0.189708,0
56,-9.02198,0.413663,0
57,-5.44746,-1.47304,0
58,-5.03913,-0.652624,0
59,-0.855371,-0.976072,0
60,-5.75298,-0.92226,0
61,-7.13383,0.121307,0
62,-6.72824,-0.628739,0
63,-6.5731,-0.967647,0
64,-6.40253,0.579542,0
65,-8.77727,-0.198901,0
66,-7.82766,-0.0531264,0
67,-5.57511,-1.27065,0
68,-10.5915,0.531997,0
69,-7.53421,1.46597,0
70,-7.57788,-0.350398,0
71,-3.64498,-1.01936,0
72,-6.14316,-1.22087,0
73,-7.138,0.3194,0
74,-9.07948,-0.526767,0
75,-6.245,0.799464,0
76,-9.94396,-0.305495,0
77,-8.82942,-0.139461,0
78,-6.99826,-2.31374,0
79,-5.156,-0.759205,0
80,-9.34279,-0.904955,0
81,-4.94873,-0.812488,0
82,-4.8891,-1.13065,0
83,-6.71343,0.377816,0
84,-5.37275,-1.94023,0
85,-7.88186,-0.163382,0
